平成30年,人口動態統計,,
　95,124298947,60919153,63379794
　96,124709000,61115000,63594000
　97,124963000,61210000,63753000
　98,125252000,61311000,63941000
　99,125432000,61358000,64074000
2000,125612633,61488005,64124628
2001　,125908000,61595000,64313000
2002,126008000,61591000,64417000
2003,126139000,61620000,64520000
2004,126176000,61597000,64579000
2005,126204902,61617893,64587009
2006,126154000,61568000,64586000
2007,126085000,61511000,64574000
2008,125947000,61424000,64523000
2009,125820000,61339000,64481000
2010,126381728,61571727,64810001
2011,126180000,61453000,64727000
2012,125957000,61328000,64630000
2013,125704000,61186000,64518000
2014,125431000,61041000,64391000
2015,125319299,61022756,64296543
2016,125020252,60866773,64153479
2017,124648471,60675736,63972735
2018,124218285,60454898,63763387
備　考

 (地域の範囲)
１) 明治32年～昭和19年：樺太を除く旧内地 (北海道､ 本州､ 四国､ 九州及び沖縄) 
２) 昭和20年以降：前述の地域のうち､ 北海道の一部､ 東京都の一部､ 九州の一部及び沖縄を除く地域
　　なお､ 後年我が国に復帰した地域は､ その都度以下により地域の範囲に加えた｡ 

地　域　　　　　　　　　　　復帰年月日　　　　　　範囲に加えた年
鹿児島県大島郡十島村　　　　昭和26年12月５日　　　昭和27年
　　〃　　　奄美群島　　　　昭和28年12月25日　　　昭和29年
東京都小笠原諸島　　　　　　昭和43年６月26日　　　昭和43年
沖縄県　　　　　　　　　　　昭和47年５月15日　　　昭和48年

 (人的範囲) 
１）明治32年～大正８年：内地人
２）大正９年～昭和41年 (昭和19年～21年を除く) ：前述の地域にある外国人を含む総人口
　　昭和19年､ 20年：陸海軍の部隊及び艦船にあるもの及び外国人を含んでいない｡ 
　　昭和21年：外国人及び外国人の世帯のあるものを含んでいない｡ 
　　昭和22年以降：外国軍隊・外国政府の公館員及びその家族を含んでいない｡ 
３）昭和42年以降：日本人人口

 (調査の時期) 
１）明治32年～大正８年：１月１日現在
２）大正９年以降 (昭和19年､ 20年､ 21年を除く) ：10月１日現在
　　昭和19年：２月22日現在
　　昭和20年：11月１日現在
　　昭和21年：４月26日現在

 (資料) 
１）明治32年～大正８年：大正９年国勢調査結果より､ 出生､ 死亡､ 就籍､ 除籍を加除して推計 (内閣統計局による) 
　　｢昭和25年国勢調査報告第８巻｣ (昭和30年３月刊) －総理府統計局
２）＊印：国勢調査結果
　　昭和15年：国勢調査による銃後人口に内地にある軍人・軍属の推計数を加えたもの
　　昭和19年～21年：人口調査
　　昭和22年～58年：総理府統計局推計
　　昭和59年～平成11年：総務庁統計局推計
　　平成13年以降：総務省統計局推計
　　昭和24年以前： ｢大正９年～昭和15年及び昭和22年～昭和25年年齢別人口｣ (昭和31年３月刊) 
　　 ｢大正９年～昭和25年都道府県人口｣ (昭和32年３月刊) (100の位未満四捨五入) 
　　昭和26年～48年：各年次における ｢全国年齢別人口の推計｣ ｢都道府県別人口の推計」(1000の位未満四捨五入) 
　　昭和49年～平成20年：各年次における「10月１日現在推計人口」 (1000の位未満四捨五入)
　　平成21年～26年：各年次における「人口推計（10月１日現在）」 (1000の位未満四捨五入)
　　平成28年以降：各年次における「人口推計（10月１日現在）」
　　なお､ 昭和31年､ 32年については昭和34年７月発表の改訂値｡ 昭和33年は昭和35年６月発表の改訂値｡ 
　　他の年次については､ その後改訂値が公表された場合でもこれを用いていない｡ 
　　昭和45年､ 50年､ 55年､ 平成７年は､ 国勢調査の確定数。ただし、昭和45年､ 50年､ 55年の各報告書では、それぞれ１％抽出集計結果を用いたので､ 本報告書と数字が異なる｡ 
　　平成２年、12年、17年、22年、27年は、国勢調査の確定数（按分済み人口）。
　　昭和60年は｢昭和60年国勢調査抽出速報集計結果｣ (昭和61年５月刊) －総務庁統計局
